,,,,,,,,,,nan_8,nan_9,nan_10,nan_11,code,product name,brand,unit,qty,unit price,amount,vat/tax %,vat amount,final amount,cost | p unit,retail price or % | p unit,wholesale price | p unit,disc/p unit,"97212, dubai, united arab emirates"
,,,,,,,,,,,,,,Date ,17.12.2024,,,,,,,,,,,,,
,,,,,,,,,,,,,,Month,December,,,,,,,,,,,,,
,,,,,,,,,,,,,,Invoice No,2297009,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Code,Product Name,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,Disc/P Unit,
,,,,,,,,,,,,,,,A0230080020L-18Ltr POLLYDEX WATER PROOFING,,,16,150,432,5,98.4,2066.4,,,,2400,
,,,,,,,,,,,,,,,A0230080020L-18Ltr POLLYDEX WATER PROOFING,,,2,150,300,5,0,0,,,,300,
,,,,,,,,,,,,,,,MAXWELL LED Dust Proof Light fitting 90 Watt IP40 7000K 165v-240v,,NOS,30,7,210,5,10.5,220.5,,,,,
,,,,,,,,,,,,,,,MAXWELL LED Dust Proof Light fitting 160 Watt IP40 7000K 165v-240v,,NOS,60,14,840,5,42,882,,,,,
,,,,,,,,,,,,,,,TOPEX Pacific Switch 16A 1 Gang 2 way - Black,,NOS,10,3.5,35,5,1.75,36.75,,,,,
,,,,,,,,,,,,,,,TOPEX Pacific Switch 16A 2 Gang 2 way - Black,,NOS,10,5.25,52.5,5,2.63,55.13,,,,,
,,,,,,,,,,,,,,,TOPEX Pacific Switch 16A 3 Gang 2 way- Black,,NOS,10,6.25,62.5,5,3.13,65.63,,,,,
,,,,,,,,,,,,,,,TOPEX Pacific Switch 16A 4 Gang 1 way- Black,,NOS,10,8.25,82.5,5,4.13,86.63,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Date ,05.02.2025,,,,,,,,,,,,,
,,,,,,,,,,,,,,Month,February,,,,,,,,,,,,,
,,,,,,,,,,,,,,Invoice No,SITL10-132662,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Code,Product Name,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,Disc/P Unit,
,,,,,,,,,,,,,,,TOPEX Oxford PVC floor trunking 35x10x2000mm with sticker-White,,NOS,25,6,150,5,7.5,157.5,,,,,
,,,,,,,,,,,,,,,TOPEX Oxford PVC floor trunking 50x15x2000mm with sticker-White,,NOS,15,8,`120,5,6,126,,,,,
,,,,,,,,,,,,,,,TOPEX Litex LED Spot light 7 Watt Round Recessed CCT adjustable 220V-240V - White,,NOS,100,5.5,550,5,27.5,577.5,,,,,
,,,,,,,,,,,,,,,TOPEX Micra LED Spot light 3 Watt Round Recessed 4000K 220V-240V - White,,NOS,20,4.5,90,5,4.5,94.5,,,,,
,,,,,,,,,,,,,,,TOPEX Senso LED Lamp/Bulb 9 Watt E27 6500K 220V-240V ,,NOS,10,8.5,85,5,4.25,89.25,,,,,
,,,,,,,,,,,,,,,TOPEX Oxford Socket with Switch 13A 2 Gang with 2USB 3.1A-White,,NOS,5,38,190,5,9.5,199.5,,,,,
,,,,,,,,,,,,,,,TOPEX Pacific Switch & Socket 13A 2 Gang SP - Black ,,NOS,50,8.5,425,5,21.25,446.25,,,,,
,,,,,,,,,,,,,,,TOPEX Yoarashi 6 Inch Inline Alunium Duct Hose Double Layer,,NOS,6,18,108,5,5.4,113.4,,,,,
,,,,,,,,,,,,,,,TOPEX Europa Switch 10A 1 Gang 1 way White,,NOS,10,2.25,22.5,5,1.13,23.63,,,,,
,,,,,,,,,,,,,,,TOPEX Europa Switch 10A 3 Gang 1 Way- White,,NOS,10,4.5,45,5,2.25,47.25,,,,,
,,,,,,,,,,,,,,,TOPEX EUROPA 10A 2 GANG 2 WAY SWITCH WHITE,,NOS,10,4,40,5,2,42,,,,,
,,,,,,,,,,,,,,,TOPEX Europa switch 10A 4 Gang 2 way- White ,,NOS,10,6,60,5,3,63,,,,,
,,,,,,,,,,,,,,,TOPEX Europa Switch 20A 1 Gang Double Pole with Neon Indicator- White,,NOS,10,5.5,55,5,2.75,57.75,,,,,
,,,,,,,,,,,,,,,TOPEX Europa Socket with Switch 13A 1 Gang - White ,,NOS,30,4,120,5,6,126,,,,,
,,,,,,,,,,,,,,,13A 2 GANG SP SWITCH & SOCKET WHITE EUROPA - TOPEX,,NOS,30,6.75,202.5,5,10.13,212.63,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Date ,10.02.2025,,,,,,,,,,,,,
,,,,,,,,,,,,,,Month,February,,,,,,,,,,,,,
,,,,,,,,,,,,,,Invoice No,SITL10-132974,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Code,Product Name,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,Disc/P Unit,
,,,,,,,,,,,,,,,TOPEX Oxford Impact Switch 10A 1 Gang IP66 - Gray,,NOS,10,12,120,5,6,126,,,,,
,,,,,,,,,,,,,,,TOPEX Oxford Impact Switch 10A 2 Gang IP66 - Gray,,NOS,10,14,140,5,7,147,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Date ,13.02.2025,,,,,,,,,,,,,
,,,,,,,,,,,,,,Month,February,,,,,,,,,,,,,
,,,,,,,,,,,,,,Invoice No,SITL10-133357,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Code,Product Name,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,Disc/P Unit,
,,,,,,,,,,,,,,,TOPEX Oxford Ding Dong Bell BL301 - White,,NOS,20,12,240,5,12,252,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Date ,17.02.2025,,,,,,,,,,,,,
,,,,,,,,,,,,,,Month,February,,,,,,,,,,,,,
,,,,,,,,,,,,,,Invoice No,SITL10-133604,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Code,Product Name,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,Disc/P Unit,
,,,,,,,,,,,,,,,TOPEX Litex LED Spot Module 9 watt 4000k,,NOS,100,3.25,325,5,16.25,341.25,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Date ,20.02.2025,,,,,,,,,,,,,
,,,,,,,,,,,,,,Month,February,,,,,,,,,,,,,
,,,,,,,,,,,,,,Invoice No,SITL10-133931,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Code,Product Name,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,Disc/P Unit,
,,,,,,,,,,,,,,,TOPEX Litex LED Spot light 7 Watt Round Recessed CCT Adjustable 220V-240V - Black,,NOS,100,6,600,5,30,630,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Date ,09.01.2025,,,,,,,,,,,,,
,,,,,,,,,,,,,,Month,January,,,,,,,,,,,,,
,,,,,,,,,,,,,,Invoice No,SITL10-130370,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Code,Product Name,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,Disc/P Unit,
,,,,,,,,,,,,,,,TOPEX Electra Extensions Chord 3Way 3 Meter White ,,NOS,6,18,108,5,5.4,113.4,,,,,
,,,,,,,,,,,,,,,TOPEX OPTRA Extensions Chord 3 Way W/O wire ,,NOS,10,12,120,5,6,126,,,,,
,,,,,,,,,,,,,,,TOPEX Glossy Strip Light 5050 30 led s/m RGB 5 meter with USB+ mini controller 5v ,,ROLL,10,15,150,5,7.5,157.5,,,,,
,,,,,,,,,,,,,,,TOPEX Ozone Ventilation Ceiling Fix Fan SQUARE 4 Inch 1900 RPM 25W White,,NOS,6,24,144,5,7.2,151.2,,,,,
,,,,,,,,,,,,,,,TOPEX Ozone Ventilation Ceiling Fix Fan SQUARE 6 Inch 1900 RPM 25W - White,,NOS,6,32,192,5,9.6,201.6,,,,,
,,,,,,,,,,,,,,,HOLDER T8 WITH 1.5M WIRE LITEX,,NOS,100,0.85,85,5,4.25,89.25,,,,,
,,,,,,,,,,,,,,,TOPEX Arrow LED Strip Light Driver Slim 12V 72W IP20,,NOS,10,17,170,5,8.5,178.5,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Date ,09.01.2025,,,,,,,,,,,,,
,,,,,,,,,,,,,,Month,January,,,,,,,,,,,,,
,,,,,,,,,,,,,,Invoice No,SITL10-130373,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Code,Product Name,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,Disc/P Unit,
,,,,,,,,,,,,,,,TOPEX Track light with 1XGU.10. holder Aluminum+PC- White+Black,,NOS,15,8.5,127.5,5,6.38,133.88,,,,,
,,,,,,,,,,,,,,,Topex track light Ceiling Surface base (TR2L001-BB)- White ,,NOS,15,1.5,22.5,5,1.13,23.63,,,,,
,,,,,,,,,,,,,,,Topex track light Ceiling Surface base (TR2L001-WB TR2L001-BB)- Black,,NOS,15,1.5,22.5,5,1.13,23.63,,,,,
,,,,,,,,,,,,,,,TOPEX Track light with 1XGU.10 holder Aluminum+Pc- Black+Black,,NOS,15,8.5,127.5,5,6.38,133.88,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Date ,20.01.2025,,,,,,,,,,,,,
,,,,,,,,,,,,,,Month,January,,,,,,,,,,,,,
,,,,,,,,,,,,,,Invoice No,SITL10-131298,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Code,Product Name,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,Disc/P Unit,
,,,,,,,,,,,,,,,TOPEX Glossy LED Strip Light 24v COB-320D 5 METER 4000k,,NOS,30,15,450,5,22.5,472.5,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Date ,25.01.2025,,,,,,,,,,,,,
,,,,,,,,,,,,,,Month,January,,,,,,,,,,,,,
,,,,,,,,,,,,,,Invoice No,SITL10-131734,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Code,Product Name,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,Disc/P Unit,
,,,,,,,,,,,,,,,TOPEX Spot Light Frame Square Recessed Plastic Body Anti Glare 2 lamp - Black+Black ,,NOS,10,3,30,5,1.5,31.5,,,,,
,,,,,,,,,,,,,,,TOPEX Spot Light Frame Square Recessed Plastic Body Anti Glare 3 lamp - Black+Black ,,NOS,10,4,40,5,2,42,,,,,
,,,,,,,,,,,,,,,TOPEX Spot Light Frame Square Recessed Plastic Body Anti Glare 2 lamp - White,,NOS,10,3,30,5,1.5,31.5,,,,,
,,,,,,,,,,,,,,,TOPEX Spot Light Frame Square Recessed Plastic Body Anti Glare 3 lamp - White+Black,,NOS,20,4,80,5,4,84,,,,,
,,,,,,,,,,,,,,,TOPEX Litex LED Spot Module 9 watt 3000k,,NOS,50,3.25,162.5,5,8.13,170.63,,,,,
,,,,,,,,,,,,,,,TOPEX Litex LED Spot Module 9 watt 4000k,,NOS,50,3.25,162.5,5,8.13,170.63,,,,,
,,,,,,,,,,,,,,,TOPEX Pacific Switch & Socket 13A 2 Gang SP - Black,,NOS,50,8.5,425,5,21.25,446.25,,,,,
,,,,,,,,,,,,,,,Topex Pacific Switch & Socket 13A 2 Gang Multi Function with Neon Black,,NOS,25,9.5,237.5,5,11.88,249.38,,,,,
,,,,,,,,,,,,,,,TOPEX Oxford Plug Top 13 Amp White,,NOS,60,2,120,5,6,126,,,,,
,,,,,,,,,,,,,,,TOPEX Oxford Plug Top 13 Amp Black,,NOS,60,2.25,135,5,6.75,141.75,,,,,
,,,,,,,,,,,,,,,TOPEX Oxford PVC trunking10x10x2900mm with sticker-White,,NOS,50,2.25,112.5,5,5.63,118.13,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Date ,09.01.2025,,,,,,,,,,,,,
,,,,,,,,,,,,,,Month,January,,,,,,,,,,,,,
,,,,,,,,,,,,,,Invoice No,SITL10-130373,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Code,Product Name,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,Disc/P Unit,
,,,,,,,,,,,,,,,TOPEX track light with 1XGU.10 holder Aluminum+PC-White+Black,,NOS,15,8.5,127.5,5,6.38,133.88,,,,,
,,,,,,,,,,,,,,,TOPEX track light Celling Surface base(TR2L001-BB)-White,,NOS,15,1.5,22.5,5,1.13,23.63,,,,,
,,,,,,,,,,,,,,,TOPEX track light Celling Surface base(TR2L001-WB)-Black,,NOS,15,1.5,22.5,5,1.13,23.63,,,,,
,,,,,,,,,,,,,,,TOPEX track light with 1XGU.10 holder Aluminum+PC-White+Black,,NOS,15,8.5,127.5,5,6.38,133.88,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Date ,29.01.2025,,,,,,,,,,,,,
,,,,,,,,,,,,,,Month,January,,,,,,,,,,,,,
,,,,,,,,,,,,,,Invoice No,SITL10-132049,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Code,Product Name,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,Disc/P Unit,
,,,,,,,,,,,,,,,TOPEX Yoarashi Spare metal outdoor fixed shutter for ventilation fan SQUARE 4 Inch,,NOS,25,6,150,5,7.5,157.5,,,,,
,,,,,,,,,,,,,,,TOPEX Yoarashi Spare metal outdoor fixed shutter for ventilation fan SQUARE 8 Inch,,NOS,10,10,100,5,5,105,,,,,
,,,,,,,,,,,,,,,TOPEX Yoarashi Spare metal outdoor fixed shutter for ventilation fan SQUARE 4 Inch-White,,NOS,25,7,140,5,7,147,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Date ,30.12.2024,,,,,,,,,,,,,
,,,,,,,,,,,,,,Month,December,,,,,,,,,,,,,
,,,,,,,,,,,,,,Invoice No,SITL10-129621,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Code,Product Name,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,Disc/P Unit,
,,,,,,,,,,,,,,,TOPEX Micra LED spot light 3 Watt Round Recessed 3000K 220V-240V-White,,NOS,40,4.5,180,5,9,189,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Date ,19.12.2024,,,,,,,,,,,,,
,,,,,,,,,,,,,,Month,December,,,,,,,,,,,,,
,,,,,,,,,,,,,,Invoice No,SITL10-128890,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Code,Product Name,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,Disc/P Unit,
,,,,,,,,,,,,,,,TOPEX Alpha LED COB Down light 7 watt Round Recessed CCT adjustable 220v-240v- White,,NOS,20,5,100,5,5,105,,,,,
,,,,,,,,,,,,,,,TOPEX Mars led Garden Spike Light SW 6500K IP65,,NOS,2,25,50,5,2.5,52.5,,,,,
,,,,,,,,,,,,,,,TOPEX Saturn LED Panel light Round Recessed 30W 6500k 220V-240V 50 Hz ,,NOS,20,12,240,5,12,252,,,,,
,,,,,,,,,,,,,,,TOPEX Saturn LED Panel light Round Surface 12W 6500K 80 CRI 220V-240V 50 Hz,,NOS,30,7.5,202.5,5,10.13,212.63,,,,,
,,,,,,,,,,,,,,,TOPEX Saturn LED Panel light Round Recessed 15W 6500K 80 CRI 220V-240V 50 Hz ,,NOS,30,7,189,5,9.45,1198.45,,,,,
,,,,,,,,,,,,,,,TOPEX Europa Socket withSwitch 13A 2 Gang Multi Function Gray,,NOS,30,9.5,285,5,14.25,299.25,,,,,
,,,,,,,,,,,,,,,TWIN FLAT CABLE 0.75 SQMM X 2 CORE WHITE BRITISH CABLE,,ROLL,6,33,198,5,9.9,207.25,,,,,
,,,,,,,,,,,,,,,FLEXIBLE CABLE PVC 3 CORE 1.5 SQMM CC WHITE-BRITISH CABLE,,ROLL,4,65,260,5,13,273,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Date ,23.12.2024,,,,,,,,,,,,,
,,,,,,,,,,,,,,Month,December,,,,,,,,,,,,,
,,,,,,,,,,,,,,Invoice No,SITL10-129141,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Code,Product Name,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,Disc/P Unit,
,,,,,,,,,,,,,,,TOPEX Litex LED Spot light 6 Watt Round Recessed 6500k 220V-240V Dimmable-White,,NOS,50,8,400,5,20,420,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Date ,16.12.2024,,,,,,,,,,,,,
,,,,,,,,,,,,,,Month,December,,,,,,,,,,,,,
,,,,,,,,,,,,,,Invoice No,SITL10-128612,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Code,Product Name,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,Disc/P Unit,
,,,,,,,,,,,,,,,TOPEX Litex LED Spot light 6 Watt Round Recessed 3000k 220V Dimmable - White,,NOS,50,8,400,5,20,420,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Date ,29.11.2024,,,,,,,,,,,,,
,,,,,,,,,,,,,,Month,November,,,,,,,,,,,,,
,,,,,,,,,,,,,,Invoice No,SITL10-127344,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Code,Product Name,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,Disc/P Unit,
,,,,,,,,,,,,,,,TOPEX Glossy strip light wired connector DC12V 8mm PCB ,,NOS,500,1,500,5,25,525,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Date ,25.11.2024,,,,,,,,,,,,,
,,,,,,,,,,,,,,Month,November,,,,,,,,,,,,,
,,,,,,,,,,,,,,Invoice No,SITL10-126978,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Code,Product Name,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,Disc/P Unit,
,,,,,,,,,,,,,,,TOPEX hyper LED flood light 100 watt Square wall 6500k 100-265V-Black,,NOS,10,44,440,5,22,462,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Date ,26.11.2024,,,,,,,,,,,,,
,,,,,,,,,,,,,,Month,November,,,,,,,,,,,,,
,,,,,,,,,,,,,,Invoice No,SITL10-127110,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Code,Product Name,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,Disc/P Unit,
,,,,,,,,,,,,,,,LED spot light 6W dimmable 3000K-LITEX,,NOS,23,8,184,5,9.2,193.2,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Date ,23.11.2024,,,,,,,,,,,,,
,,,,,,,,,,,,,,Month,November,,,,,,,,,,,,,
,,,,,,,,,,,,,,Invoice No,SITL10-126873,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Code,Product Name,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,Disc/P Unit,
,,,,,,,,,,,,,,,TOPEX Aluminium hanging wire 1.5 meter,,NOS,70,3.5,245,5,12.25,257.25,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Date ,22.11.2024,,,,,,,,,,,,,
,,,,,,,,,,,,,,Month,November,,,,,,,,,,,,,
,,,,,,,,,,,,,,Invoice No,SITL10-126803,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Code,Product Name,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,Disc/P Unit,
,,,,,,,,,,,,,,,TOPEX Aluminium hanging wire 1.5 meter,,NOS,30,3.5,105,5,5.25,110.25,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Date ,19.11.2024,,,,,,,,,,,,,
,,,,,,,,,,,,,,Month,November,,,,,,,,,,,,,
,,,,,,,,,,,,,,Invoice No,SITL10-126486,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Code,Product Name,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,Disc/P Unit,
,,,,,,,,,,,,,,,TOPEX Oxford Socket with Switch 13A 1 Gang Single Pole Weather Proof IP55 White ,,NOS,10,11.5,115,5,5.75,120.75,,,,,
,,,,,,,,,,,,,,,TOPEX Pacific Switch & Socket 13A 2 Gang SP- Black ,,NOS,30,8.5,255,5,12.75,267.75,,,,,
,,,,,,,,,,,,,,,Topex Pacific Switch & Socket 13A 2 Gang Multi Function with Neon Clack,,NOS,20,9.5,190,5,9.5,199.5,,,,,
,,,,,,,,,,,,,,,TOPE. Pacific Switch & Socket 13A 1 Gang SP - Black,,NOS,10,5,50,5,2.5,52.5,,,,,
,,,,,,,,,,,,,,,Topex Pacific Switch & Socket 13A 1 Gang Multi Function with Neon Black,,NOS,10,6,60,5,3,63,,,,,
,,,,,,,,,,,,,,,TOPEX Standard LED Highbay 200 Watt Round Pendant 6500K 220V-240V-Black,,NOS,1,150,150,5,7.5,157.5,,,,,
,,,,,,,,,,,,,,,TOPEX STANDARD HIGHBAY REFLECTOR UFO-BLACK ,,NOS,1,22,22,5,1.1,23.1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Date ,04.11.2024,,,,,,,,,,,,,
,,,,,,,,,,,,,,Month,November,,,,,,,,,,,,,
,,,,,,,,,,,,,,Invoice No,SITL10-125169,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Code,Product Name,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,Disc/P Unit,
